PlotID	Plot.code	pH	pHCaCl2	ResinPi	MehlichP	MehlichAl	MehlichCa	MehlichFe	MehlichK	MehlichMg	MehlichMn	MehlichZn	TotalBases	NH4	NO3	TotalinorgN	DON	TotalP	TotalN	MehlichB	WaterB	TotalC	MicC	MicN	MicP	Clay	Latitude	Longitude	Elevation	AnnualPpt	DrySeasonDeficit
39	Fuerte San Lorenzo - p40.1	4.65	3.78	0.17	3.36	1372.1	112.8	147.5	20.2	86.1	3.4	1.09	219	0.64	1.45	2.09	50	288.5	0.45	0.7203	0.38	6.25424762820221	789.702302493845	175.985291227078	48.6057120332009		9.32393	-79.9966	25	2867.20767952974	-506.384232324383
40	Fuerte San Lorenzo - p40.2	5.58	4.2	3.33	5.72	1268.6	532.9	102	26.1	389.7	35.1	12.81	949	0.5	0.08	0.57	22.2	545.7	0.3	0.7586	0.3022	4.86562222845782	1028.21600040742	211.551887504184	81.7997871146568		9.3372	-79.9851	72	2868.44681007566	-512.813905113009
88	Santa Rita - p40	5.72	4.82	0.27	1.07	1000.8	1949.1	186.2	43.7	388.7	134.7	4.2	2382	1.42	1.82	3.24	21.5	364	0.32	0.397	0.2009	5.98454973797316	1183.51875230547	228.113602142437	78.7470698560257		9.3561	-79.7266	340	3281.5054459762	-426.037681011091
85	Santa Rita - p40.1	5.36	4.48	0.07	0.76	1121.1	886	120.1	55.2	143.2	105.4	1.1	1084	1.14	0.74	1.87	43.4	181.8	0.57	0.4117	0.2459	4.71043283959183	880.511951675563	245.919127517407	20.807920687922		9.35822	-79.7481	230	3224.93999659014	-457.701044110216
81	Sherman - Camino de Pinas - p40.1	5.78	5.02	2.96	2.56	933.7	2333.4	150.7	32.6	399.3	51.3	2.39	2765	1.61	3.23	4.84	14.8	450.7	0.21	0.7882	0.2173	4.40306300414594	930.35254964873	223.197837158169	117.08960830567		9.27975	-79.9829	101	2849.42055992467	-490.897919510468
82	Sherman - Camino de Pinas - p40.2	4.4	3.75	0.13	1.84	1361.2	422.5	210.3	26	140.1	7.1	1.75	588	0.92	1.39	2.31	48.7	235.5	0.27	0.7697	0.5341	6.25412233361862	921.980837653013	195.665513653415	57.5226383516145		9.2759	-79.9778	171	2846.58988135631	-490.114331656936
77	Portobelo - Nuevo Tonosi - transecto	5.64	4.71	0.46	1.01	1373.9	1631.6	93.7	93.4	611.6	86.8	2.04	2337	2.2	0.79	2.98	17.7	294	0.242	0.265	0.1406	3.02771688448804	657.538954730817	134.166577225035	40.9574879340267		9.54503	-79.6027	15	4183	-257
79	Quebrada Lopez - transecto	5.41	4.73	0.4	0.61	984.1	1133.1	116.2	36.4	251.3	88.2	8.28	1421	2.85	1.84	4.68	29.2	217.9	0.289	0.4826	0.2567	5.64378090224767	1126.47794044205	216.492403156005	49.2215355339366		9.32444	-79.7995	49	2973.01675107875	-503.946483952531
52	Isla Galeta - transecto	5.33	4.9	2.06	2.01	996.2	2909.5	241.1	86.6	1018.2	32.3	1.55	4014	3.39	0.76	4.14	9.7	470.6	0.45	0.8808	0.248	4.25293237111272	1038.9976625593	168.554181942832	94.0405538905612		9.36914	-79.8581	15	2877.74155308568	-527.885453166574
89	Santa Rita - Sierra - transecto	4.52	3.7	0.13	0.1	1309	80.3	348.1	23.2	42.8	5.1	0.5	146	1.89	1.13	3.02	31.8	146.1	0.51	0.2233	0.2996	4.16661461396753	813.586095115558	162.411843724078	27.2083824314082		9.34195	-79.7723	205	3097.54299117774	-481.12252514873
86	Santa Rita - p40.2	5.12	4.2	0.14	0.1	1142.4	432.2	279.4	32.8	101.1	25.1	1.43	566	2.13	0.68	2.81	31.9	172.2	0.34	0.2408	0.2421	5.22291571597112	713.010945784771	141.372287838899	35.0857960900195		9.34058	-79.7726	215	3094.0877650409	-480.223997223739
67	Parque Metropolitano - transecto.1	6.73	5.73	3.49	2.04	896.9	3137	226.6	118.9	710.4	147.9	4.18	3966	1.99	2.2	4.19	7.2	491.3	0.45	0.7657	0.237	5.42213207168794	743.666655969811	158.952645822929	80.5053507911772		8.99119	-79.5467	35	1871.48398099376	-574.951376868267
68	Parque Metropolitano - transecto.2	6.58	5.52	3.48	2.98	1136.4	3622.2	182.8	54.1	780.7	105.7	3.37	4457	1.62	1.07	2.69	5.7	443.6	0.31	0.371	0.1346	4.20792409685192	610.011820077216	108.397667350479	62.2372787214534		8.99147	-79.5444	40	1870.53185420889	-574.867038363941
