"","dataset","Correlation","RMSE"
"1","CHELSA 1.2",0.310192062239489,836.062375211749
"2","CHELSA 2.1",0.567744294770225,607.576380960526
"3","CHELSA EarthEnv",0.588609642199583,624.678575918278
"4","CHELSA-W5E5v1.0",0.690161625658905,656.969227445979
"5","CHIRPS 2.0",0.735390488616438,462.996842382461
"6","TerraClimate",0.270201637204772,648.355886109927
